Date : 2023-03-11 14:58:17
Directory : c:\Users\bhati\hello\Tkinter
Total : 91 files,  5480 codes, 314 comments, 2186 blanks, all 7980 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.it-IT.md                                  | Markdown         |        209 |          0 |         98 |        307 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.md                                        | Markdown         |        206 |          0 |        102 |        308 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.pt-BR.md                                  | Markdown         |        200 |          0 |         99 |        299 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.spa-SPA.md                                | Markdown         |        206 |          0 |        102 |        308 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.tr-TR.md                                  | Markdown         |        199 |          0 |         99 |        298 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\docs\instructions.zh-CN.md                                  | Markdown         |        182 |          0 |         85 |        267 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\gui\__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\gui\gui.py                                                  | Python           |        154 |          3 |         40 |        197 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\poetry.lock                                                 | toml             |        622 |          0 |         53 |        675 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\pyproject.toml                                              | toml             |         38 |          0 |          9 |         47 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\requirements.txt                                            | pip requirements |          8 |          0 |          1 |          9 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tests\test_utils.py                                         | Python           |         16 |          0 |          7 |         23 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\__init__.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\cli.py                                           | Python           |         54 |          4 |         19 |         77 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\conftest.py                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\constants.py                                     | Python           |          1 |          1 |          1 |          3 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\designer.py                                      | Python           |         27 |          5 |          7 |         39 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\README.md                                  | Markdown         |          3 |          0 |          1 |          4 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\bhati\hello\Tkinter\1stTkDesignTest\Tkinter-Designer\tkdesigner\figma\custom_elements.py                         | Python           |         81 |         55 |         35 |        171 |
